,날짜,언론사,기사제목,기사내용,링크
0, 2020.05.25 17:37,이데일리,"기업은행, 다음달까지 'IBK알파세무신고' 신규가입 이벤트","[이데일리 김범준 기자] IBK기업은행은 개인사업자 종합소득세 신고 기간에 맞춰 ‘IBK알파세무신고’ 신규가입 이벤트를 실시한다고 25일 밝혔다. IBK알파세무신고는 소상공인이 인터넷·모바일뱅킹에서 인공지능(AI) 기술을 활용해 세무사 도움 없이 저렴한 비용으로 장부 작성과 세무신고를 지원하는 서비스다.이벤트 대상은 기업 전용 인터넷·모바일 뱅킹으로 IBK알파세무신고에 신규 가입하는 고객이다. 기간은 다음달 30일까지다. 이벤트 대상이면 자동 응모되며, 당첨자는 7월 중 기업은행 홈페이지와 SMS를 통해 안내될 예정이다.김범준 (yolo@edaily.co.kr)네이버에서 ‘이데일리’ 구독하기▶청춘뉘우스~ 스냅타임▶＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞이데일리 관련뉴스해당 언론사에서 선정하며 언론사 페이지(아웃링크)로 이동해 볼 수 있습니다.이용수 할머니 ""윤미향 사퇴 바라냐"" 질문에…아내·자녀 부탁 최신종 유서 녹음…3일 뒤 또 살인일본 발음 덕에 확진자 적어…日무리수로 시작된 '펜 챌린지'김수찬 '전국노래자랑' 출연 모습? 밥 먹다가 TV 껐다광주 여중생 또래 집단폭행…따귀 때리고 발길질",https://finance.naver.com/item/news_read.nhn?article_id=0004648175&office_id=018&code=024110&page=2&sm=
1, 2020.05.25 14:46,매일경제,"기업은행, `IBK알파세무신고` 신규가입 이벤트 실시","IBK기업은행은 개인사업자 종합소득세 신고 기간에 맞춰 IBK알파세무신고 서비스 신규가입 이벤트를 실시 중이라고 25일 밝혔다. 이벤트 대상은 기업 전용 인터넷·모바일 뱅킹으로 IBK알파세무신고에 신규 가입하는 고객이며 이벤트 기간은 6월 30일까지다.기업은행은 200명을 추첨해 '도서문화상품권 1만원권'을 모바일 쿠폰으로 지급한다. IBK알파세무신고는 소상공인이 인터넷·모바일뱅킹에서 인공지능(AI) 기술을 활용해 세무사 도움없이 저렴한 비용으로 장부 작성과 세무신고를 지원하는 서비스다. 이벤트 대상 고객이면 자동 응모되며 당첨자는 기업은행 홈페이지와 SMS를 통해 7월 중 발표한다. [류영상 기자 ifyouare@mkinternet.com]▶네이버 메인에서 '매일경제'를 받아보세요▶매부리TV 구독하고 에어팟프로 득템!! ▶뉴스레터 '매콤달콤' 구독[ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]매일경제 관련뉴스해당 언론사에서 선정하며 언론사 페이지(아웃링크)로 이동해 볼 수 있습니다.[단독] 메르스 때처럼…8월 14일 임시공휴일 지정 검토""어어 하다가 6억 넘었네""…대출막힌 30대 '눈물'비키니 챔피언 신새롬, 로드걸 변신…섹시미 뽐내BJ철구 ""원정도박+불륜설? 아내, 호텔에 있었다""김하영 ""유민상과 결혼 생각…철벽 쳐서 서운해""",https://finance.naver.com/item/news_read.nhn?article_id=0004581651&office_id=009&code=024110&page=2&sm=
2, 2020.05.25 11:47,조세일보,"기업은행, IBK알파세무신고 신규가입 이벤트 실시","◆…기업은행이 IBK알파세무신고 신규가입 이벤트를 실시한다. 사진=IBK기업은행IBK기업은행이 개인사업자 종합소득세 신고 기간에 맞춰 IBK알파세무신고 서비스 신규가입 이벤트를 실시중이라고 25일 밝혔다. 이벤트 대상은 기업 전용 인터넷·모바일 뱅킹으로 IBK알파세무신고에 신규 가입하는 고객이며 이벤트 기간은 6월 30일까지다. 기업은행은 200명을 추첨해 도서문화상품권 1만원권을 모바일 쿠폰으로 지급한다. IBK알파세무신고는 소상공인이 인터넷·모바일뱅킹에서 인공지능(AI) 기술을 활용해 세무사 도움 없이 저렴한 비용으로 장부 작성과 세무신고를 지원하는 서비스다. 이벤트 대상 고객이면 자동 응모되며 당첨자는 기업은행 홈페이지와 SMS를 통해 7월 중 발표한다. ▶ 조세일보 홈페이지 / 정회원 가입▶ 조세일보 네이버 뉴스스탠드 구독(종합/경제)김대성(kimds@joseilbo.com)저작권자 ⓒ 조세일보(http://www.joseilbo.com). 무단전재 및 재배포 금지조세일보 관련뉴스해당 언론사에서 선정하며 언론사 페이지(아웃링크)로 이동해 볼 수 있습니다.&apos;강서구 확진자&apos; 미술학원 강사 관련 예일유치원생…공진초·공항초 등교중지[속보] &apos;코로나19&apos; 국내 현황…총 1만1206명, 신규 확진 16명부천 돌잔치 장소인 &apos;라온파티&apos; 관련 확진자 9명으로 늘어주낙영 경주시장, 일본에 방역물품 지원…누리꾼 ""대체 이 시국에""한만호 ""한명숙의 불법 정치자금 9억은 검찰과 내가 만든 시나리오""",https://finance.naver.com/item/news_read.nhn?article_id=0002224276&office_id=123&code=024110&page=2&sm=
3, 2020.05.25 11:39,파이낸셜뉴스,"기업銀, ‘IBK알파세무신고’ 신규가입 이벤트","[파이낸셜뉴스]   IBK기업은행은 개인사업자 종합소득세 신고 기간에 맞춰 IBK알파세무신고 서비스 신규가입 이벤트를 진행한다고 25일 밝혔다.   IBK알파세무신고는 소상공인이 인터넷·모바일뱅킹에서 인공지능(AI) 기술을 활용해 세무사 도움 없이 저렴한 비용으로 장부 작성과 세무신고를 지원하는 서비스다.   이벤트 대상은 기업 전용 인터넷·모바일 뱅킹으로 IBK알파세무신고에 신규 가입하는 고객이며 이벤트 기간은 다음달 30일까지다. 이벤트 대상 고객이면 자동 응모되며, 당첨자는 기업은행 홈페이지와 SMS를 통해 7월 중 발표한다.   기업은행은 200명을 추첨해 '도서문화상품권 1만원권'을 모바일 쿠폰으로 지급한다.  jyyoun@fnnews.com 윤지영 기자   ▶ 헉! 소리나는 스!토리 뉴스 [헉스]▶ '아는 척'하고 싶은 당신을 위한 [두유노우]  ※ 저작권자 ⓒ 파이낸셜뉴스. 무단 전재-재배포 금지파이낸셜뉴스 관련뉴스해당 언론사에서 선정하며 언론사 페이지(아웃링크)로 이동해 볼 수 있습니다.女개그우먼, 안타까운 가족사 ""결혼식 때 부모 대행 알바를..""'22세' 女스타 레슬러 자살, 사망前 올린 사진과 메시지가..소름檢 압박에 유시민의 반전 고백 ""노무현재단 계좌를 검찰이..""바다서 실종된 아버지와 아들, 이튿날 시신이 발견된 곳은..26년간 방치된 '7m' 쓰레기산 발견, 쓰레기 양이 무려..",https://finance.naver.com/item/news_read.nhn?article_id=0004430536&office_id=014&code=024110&page=2&sm=
4, 2020.05.25 11:07,아시아경제,"기업은행 ""IBK알파세무신고 서비스 가입하세요""","[아시아경제 권해영 기자] IBK기업은행은 개인사업자 종합소득세 신고 기간에 맞춰 IBK알파세무신고 서비스 신규가입 이벤트를 실시한다고 25일 밝혔다.이벤트 대상은 기업 전용 인터넷·모바일 뱅킹으로 IBK알파세무신고에 신규 가입하는 고객이며 기간은 6월30일까지다.기업은행은 200명을 추첨해 '도서문화상품권 1만원권'을 모바일 쿠폰으로 지급한다.IBK알파세무신고는 소상공인이 인터넷·모바일뱅킹에서 인공지능(AI) 기술을 활용해 세무사 도움 없이 저렴한 비용으로 장부 작성과 세무신고를 지원하는 서비스다.이벤트 대상 고객이면 자동 응모되며 당첨자는 기업은행 홈페이지와 문자메시지(SMS)를 통해 7월 중 발표한다.권해영 기자 roguehy@asiae.co.kr▶ 2020년 하반기, 재물운·연애운·건강운 체크!▶ 네이버에서 아시아경제 뉴스를 받아보세요 ▶ 놀 준비 되었다면 드루와!  드링킷!<ⓒ경제를 보는 눈, 세계를 보는 창 아시아경제 무단전재 배포금지>아시아경제 관련뉴스해당 언론사에서 선정하며 언론사 페이지(아웃링크)로 이동해 볼 수 있습니다.임영웅 ""엄마 생신선물로 1억 드린다 했는데…""양치승 ""한 달 수입 0원…폐업 200군데 넘을 것""유니클로 동생도 짐싼다…日 브랜드 줄줄이 '아웃'아직도 일본산?…""이젠 한국이 한 수 위""왜 하필 '치마 몰카'로 홍보? LG의 '치명적 실수'",https://finance.naver.com/item/news_read.nhn?article_id=0004684680&office_id=277&code=024110&page=2&sm=
5, 2020.05.25 07:20,한국경제,"기업은행, 미국서 1000억원대 벌금…자금세탁방지 규정 저촉","자동세탁방지 프로그램, 자동 아닌 수동으로 운영준법감시인 건의에도 미적대다 1조원대 자금세탁 발생사진=한국경제DBIBK기업은행이 미국에서 자금세탁방지(AML)법을 위반해 1000억원 규모 벌금을 내게 됐다.25일 기업은행과 미국 뉴욕 남부지검 간 합의서에 따르면 기업은행 뉴욕지점은 한 무역업체의 이란 제재 위반 사건과 관련한 위장 거래를 적시에 적발하지 못했다. 이에 뉴욕 남부지검은 기업은행 뉴욕지점이 적절한 조치를 취하지 않은 것으로 봤고, 양측은 지난달 20일 8600만 달러(약 1049억원)의 벌금에 합의했다.합의서는 기업은행과 은행 뉴욕지점이 2011∼2014년 뉴욕지점에 적절한 자금세탁 방지 프로그램을 마련해 운영하는 것을 '의도적으로' 이행하지 않아 미국 법을 위반했다고 적시했다.뉴욕지점 내 준법 감시인의 지속적인 요청과 경고에도 기업은행이 적절한 프로그램을 운영하기 위한 자원과 인력을 제공하지 않았다고 합의문은 설명했다. 당시 뉴욕 지점은 준법 감시팀 직원으로 준법 감시인 1명을 두고 자본세탁방지 수동 프로그램으로는 위장 거래를 적발하고 있었다.준법 감시인은 2010년 초 내부 제안서를 통해 지점 경영진에 수동 프로그램으로는 적시에 자금세탁방지를 위한 모든 거래를 다루기 어렵다고 알렸다. 그는 요청에도 별다른 변화가 없자 2010년 5월 뉴욕 지점장에게, 2011년 1월에는 본사 경영진이 포함된 준법감시위원회에 같은 내용으로 문제를 제기했다.준법 감시인이 2011년 7월 기업은행 본사 고위 경영진에 보낸 메모에는 '현재 자금세탁방지 모니터링 프로그램이 미국 은행보안규정(BSA)이 요구하는 검토 수준보다 8개월 뒤처져 있다'는 내용이 적혀 있었다.그는 인력 보강도 꾸준히 요청했다. 이에 뉴욕지점은 영어를 못 하고 준법 감시 경험이 없는 인턴 배치를 제안했다. 준법 감시인은 미국인으로 한국말을 못 했기에 제안을 거절했다. 뉴욕 지점장은 결국 정보기술(IT)팀 직원을 보강했는데 이 직원 역시 영어가 능통하지 않았고 준법 감시 관련 경험도 없었다. IT를 주 업무로 하면서 파트타임으로 일하는 형식이었다.결국 기업은행에서 1조원 규모의 위장거래가 발생했다. 2011년 2∼7월 무역업체 A사는 두바이산 대리석을 수입해 신전 건축용으로 이란에 수출하는 중계무역을 하겠다며 한국 당국에 신고했다. 기업은행에 개설된 계좌는 한국과 이란의 교역 대금을 원화로 결제하는 시스템이기에 당시 미국의 대(對)이란 제재법에 저촉되지 않았다.A사는 약 50차례 걸쳐 기업은행 서울 모 지점에 개설된 이란 중앙은행 명의의 대금 결제 계좌에서 모두 1조원가량을 인출했다. 이 돈은 기업은행의 뉴욕지점을 거쳐 5∼6개국에 있는 계좌로 옮겨진 것으로 전해졌다. 이란이 미국의 금융제재를 피하려고 A사를 자금 세탁에 활용한 것 아니냐는 의혹이 제기됐다.첫 위장 거래는 2011년 2월에 있었으나 뉴욕지점은 5개월이 지난 그해 7월에야 해당 사실을 적발했다. 준법 감시인의 지적대로 뉴욕 지점이 운영한 자본세탁방지 수동 프로그램이 위장 거래를 적시에 적발하는 데 한계가 있었기 때문이었다. 합의문은 ""뉴욕 지점의 적절하지 않은 자본세탁방지 프로그램 때문에 미국의 대(對)이란 경제 제재를 위반한 일련의 거래를 적시에 적발하지 못했다""고 설명했다.기업은행은 또 2011년에 위장 거래 규모를 1000만 달러라고 미 재무부 해와자산통제국(OFAC)에 보고했다. 이후 한국 검찰이 2013년 해당 사건 내용을 공개하자 나머지 9억9000만 달러 관련 자료를 그제야 OFAC에 제출했다.이 사건과 관련해 기업은행에서 징계를 받은 사람은 없다. 기업은행 관계자는 ""미 금융당국과 검찰 조사에서 당시 근무 직원 면담 등이 있었다""며 ""개인적으로 업무를 해태했거나 불법 행위를 했으면 당연히 처벌을 받았겠지만 그런 내용은 없다""고 말했다. 금융감독원도 별다른 조치는 취하지 않는다는 입장이다.한경닷컴 뉴스룸 open@hankyung.com▶ 네이버에서 한국경제 뉴스를 받아보세요▶ 한경닷컴 바로가기  ▶ 모바일한경 구독신청 ⓒ 한국경제 & hankyung.com, 무단전재 및 재배포 금지한국경제 관련뉴스해당 언론사에서 선정하며 언론사 페이지(아웃링크)로 이동해 볼 수 있습니다.美 '모더나'가 해냈다…코로나 백신 결국""한국에서 이런건 처음 본다"" 외신도 찬사[속보] 결국, 유치원생까지 확진…최악 상황""미국, 일본, 독일까지 제친 한국""…깜짝 발표""SKY 말고…"" 기업이 선호하는 대학은…반전",https://finance.naver.com/item/news_read.nhn?article_id=0004346488&office_id=015&code=024110&page=2&sm=
6, 2020.05.22 15:00,아시아경제,"기업은행, 신규 TV광고 론칭…'코로나19 극복' 뜻 담아","[아시아경제 권해영 기자] IBK기업은행은 2020년 상반기 신규 광고 '신종 코로나바이러스감염증(코로나19) 극복' 편을 선보인다고 22일 밝혔다.이번 광고는 '위기 때마다 여러분 가까이에 있습니다'라는 슬로건으로 고객들이 지난달 코로나19 특별대출을 받기 위해 기업은행 영업점을 방문한 상황을 생생히 재현했다. 실제 기업은행 직원이 직접 출연하고 내레이션에 참여해 진정성 있는 마음을 담았다.광고는 총 세 편으로 '영업점 현장 모습' 편, '자금지원을 받아 고비를 넘긴 중소기업 사장님' 편, '고객의 모습을 바라본 직원' 편이다.윤종원 기업은행장은 ""어려움을 겪는 중소기업·소상공인의 위기 극복을 지원하는 기업은행의 모습을 담고자 노력했다""며 ""'기업은행에 다녀왔다'는 말이 '해결책을 찾았다'는 말이 될 수 있도록 위기 때마다 고객 가까이에 있는 기업은행이 되겠다""고 말했다.권해영 기자 roguehy@asiae.co.kr▶ 2020년 하반기, 재물운·연애운·건강운 체크!▶ 네이버에서 아시아경제 뉴스를 받아보세요 ▶ 놀 준비 되었다면 드루와!  드링킷!<ⓒ경제를 보는 눈, 세계를 보는 창 아시아경제 무단전재 배포금지>아시아경제 관련뉴스해당 언론사에서 선정하며 언론사 페이지(아웃링크)로 이동해 볼 수 있습니다.조민아 ""주치의 권유로 약 끊었다가 호흡 정지…""'뜨거운 불매 맛' 日 브랜드 줄줄이 'OUT'얕은 수작 부리는 日…韓 보란듯 '괘씸한 인증샷'""이 따위 서비스를…"" 백종원, 실수연발에 폭발""우린 돈 없어서 상상도 못했다"" 윤미향에 박탈감",https://finance.naver.com/item/news_read.nhn?article_id=0004683721&office_id=277&code=024110&page=2&sm=
7, 2020.05.22 11:17,매일경제,"기업은행, 신규 TV광고 `코로나19 극복`편 론칭","IBK기업은행은 '코로나19로 어려움을 겪는 중소기업과 소상공인을 지원하는 IBK'라는 내용으로 올해 첫번째 광고를 선보인다고 22일 밝혔다. 광고는 '위기 때마다 여러분 가까이에 있습니다'라는 슬로건으로 고객들이 지난 4월 코로나19 특별대출을 받기 위해 기업은행 영업점을 방문한 상황을 생생히 재현했다. 실제 기업은행 직원이 출현하고 내레이션에 참여해 진정성 있는 마음을 표현했다고 은행측은 전했다. 광고는 총 세 편으로 당시 '영업점 현장 모습'편, '자금지원을 받아 고비를 넘긴 중소기업 사장님'편, '고객의 모습을 바라본 직원'편이다. 윤종원 은행장은 ""어려움을 겪는 중소기업·소상공인의 위기 극복을 지원하는 모습을 담고자 노력했다""며 ""'기업은행에 다녀왔다'는 말이 '해결책을 찾았다'는 말이 될 수 있도록 위기 때마다 고객의 가까이에 있는 은행이 되겠다""고 말했다. [디지털뉴스국 류영상 기자]▶네이버 메인에서 '매일경제'를 받아보세요▶매부리TV 구독하고 에어팟프로 득템!! ▶뉴스레터 '매콤달콤' 구독[ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]매일경제 관련뉴스해당 언론사에서 선정하며 언론사 페이지(아웃링크)로 이동해 볼 수 있습니다.민경욱 ""이번 총선서 민주당 압승 일등 공신은 바로…""""트럼프 미국 대통령, 11월 대선에서 참패 할 것""문가비, 파격적인 비키니 자태 전격 공개[배한철의 역사의 더께/식문화2]조선시대 임금 수라상 단골메뉴는 개고기찜윤문식 ""폐암 3기 오진 받고 식음 전폐…1기였다""",https://finance.naver.com/item/news_read.nhn?article_id=0004580182&office_id=009&code=024110&page=2&sm=
8, 2020.05.21 18:04,파이낸셜뉴스,"[단독]기업은행, 라임펀드 투자금의 50% 첫 선지급 검토","환매 중단된 302억의 절반 규모환매 연기되며 투자자 불만 고조‘불완전 판매’ 논란도 부담감 작용  '라임사태' 해결을 위해 IBK기업은행이 판매한 라임자산운용의 '라임레포플러스 9M 펀드' 투자금의 50%를 선지급키로 가닥을 잡았다.   이 방안이 확정되면 선지급 규모는 환매 중단된 총 302억원의 50%인 151억원에 이른다. <본지 2월 24일자 참조>   21일 금융권에 따르면 라임자산운용사의 펀드를 판매한 기업·신한·우리은행 등으로 구성된 공동대응반은 선지급 비율을 이같이 결정한 것으로 확인됐다.   기업은행은 최근 라임 레포플러스 9M 펀드의 환매가 연기되고 투자자들의 불만이 고조되자 투자금 일부를 선지급 하는 방안을 추진하고 있다. 선지급 비율은 아직 환매되지 않은 투자금의 50%다. 기업은행은 향후 이사회를 열고 안건을 논의한 뒤 처리할 예정이다.   기업은행은 지난해 6~7월 라임레포플러스 9M 펀드를 600억원 가량 판매했다. 지난해 환매가 중단된 '라임 플루토 FI D-1호'를 펀드에 편입하긴 했지만 '신탁' 형태로 판매해 그나마 다른 은행보다 피해규모가 적었다.   라임 플루토 펀드의 편입 비중은 50%가 채 되지(44%) 않아, 우량채권 펀드에 들어간 투자금은 지난해 회수해 투자자들에게 돌려줬다. 하지만 라임 플루토 펀드에 들어간 투자금 302억원은 환매가 중단돼 피해자들의 불만이 높았다. 환매중단된 투자금(302억원)의 50%를 선지급할 경우 151억원 가량이 투자자들에게 돌아갈 것으로 전망된다.   은행들이 이 같은 결정에 뜻을 모은 이유는 '불완전 판매' 논란에 대한 부담감 때문이다. 기업은행의 경우 '국책은행'이라는 부담감이 작용한 것으로 보인다.   일부 투자자들은 기업은행이 3% 이상의 수익률을 보장한다는 말뿐 상품 설명을 제대로 하지 않았다며 불완전 판매 의혹을 제기한 상황이다.   대규모 손실을 낸 해외금리연계 파생상품(DLF) 사태를 보면, 불완전 판매가 인정된 우리·하나은행은 금융당국으로부터 최고경영자(CEO) 중징계 및 기관 징계까지 받았다. 불완전 판매 이슈가 커지면 부담감도 커질 수 밖에 없다는 판단이 작용한 것으로 분석된다.   라임펀드를 판매한 시중은행들이 '라임 사태'를 공동대응하고 있는만큼 나머지 은행들도 조만간 이사회를 열고 유사하게 선지급 비율을 확정할 가능성이 높아졌다.   피해자들에게 투자금을 선지급한 뒤 라임자산운용사를 상대로 '구상권'을 청구하는 방식이다. 시중은행 중 신한·우리·기업은행 등 라임펀드 판매 은행들은 공동대응반을 꾸려 라임사태 관련 대책을 논의해왔다. 라임측이 작심하고 사기행태를 벌인 만큼 고객과 은행 모두 피해자라는 판단에서다.   다만, 은행들이 투자금 일부를 선지급하더라도 라임사태 논란은 지속될 것으로 보인다. 선지급 금액이 마음에 들지 않는 투자자들의 경우 금융민원을 제기해 금감원 분쟁조정위원회로부터 배상비율 등을 다시 검토받을 수 있기 때문이다. 선지급 금액을 받은 이후라도 일부 투자자는 개별 소송까지 할 가능성도 있다.    jyyoun@fnnews.com 윤지영 기자   ▶ 헉! 소리나는 스!토리 뉴스 [헉스]▶ '아는 척'하고 싶은 당신을 위한 [두유노우]  ※ 저작권자 ⓒ 파이낸셜뉴스. 무단 전재-재배포 금지파이낸셜뉴스 관련뉴스해당 언론사에서 선정하며 언론사 페이지(아웃링크)로 이동해 볼 수 있습니다.20년 만에 나타난 구하라 친모, 끝내 받아내는 유산이..투신자살한 오리온 20대女 직원, 유서 보니..소름前남편 죽은 날 통장 본 아내 깜놀, 수억 훔친 범인은..'가수 정준영' 공개된 구치소 생활 ""짓궂은 형님들이..""저수지서 발견된 50대 변사체, 알고보니 하루 전에..",https://finance.naver.com/item/news_read.nhn?article_id=0004429168&office_id=014&code=024110&page=2&sm=
9, 2020.05.21 13:45,매일경제,"IBK기업은행, 아이배냇과 `슬기로운 육아생활` 이벤트","IBK기업은행은 영유아 종합 식품기업 아이배냇과 '슬기로운 육아생활' 이벤트를 7월말까지 진행한다고 밝혔다. 이벤트 대상은 기간 내 기업은행 계좌로 아동수당을 최초 수령한 고객이다. 대상고객에게 아이 월령에 맞는 이유식과 유기농 간식체험 패키지 증정 혜택을 매일 선착순 500명에게 제공한다. 기업은행은 당첨고객에게 매월 첫째 주 휴대폰으로 무료체험 쿠폰을 발송한다. 대상고객중 아이배냇의 배달 이유식 '배냇밀' 정기주문 고객에게는 100명을 추첨해 2만원 상당의 간식 박스도 증정한다. [디지털뉴스국 류영상 기자]▶네이버 메인에서 '매일경제'를 받아보세요▶매부리TV 구독하고 에어팟프로 득템!! ▶뉴스레터 '매콤달콤' 구독[ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]매일경제 관련뉴스해당 언론사에서 선정하며 언론사 페이지(아웃링크)로 이동해 볼 수 있습니다.아우디, 2세대 Q3 출시…""연비 14.7km/ℓ의 소형 SUV""[매부리TV] ""30억 아파트 3억에 줍자"" 하루만에 26만명 몰렸다김나희, 파격적인 밀착 레깅스핏…관능적 몸매최양락♥팽현숙 부부, 궁궐같은 집 공개노현희 근황 공개 ""새 식구가 생겼어요""",https://finance.naver.com/item/news_read.nhn?article_id=0004579482&office_id=009&code=024110&page=2&sm=
