,날짜,언론사,기사제목,기사내용,링크
0, 2020.05.07 15:11,매일경제,"IBK기업은행, 퇴직연금 언택트 마케팅 도입","IBK기업은행은 재택근무, 유연근무제 확대 등 코로나19 확산으로 변화한 업무환경을 반영해 '퇴직연금 비대면 설명회'를 실시한다고 7일 밝혔다. 설명회에 참여하는 퇴직연금 가입 기업 또는 가입 희망기업 근로자는 모바일이나 PC 등을 통해 실시간으로 퇴직연금 전문 컨설턴트로부터 제도 안내, 컨설팅 등을 받을 수 있다. 실시간 질의응답도 가능하다.재택·유연근무 시행 기업, 해외에 사업장을 둔 기업도 설명회에 참여할 수 있어 퇴직연금에 대한 접근성이 높아질 것으로 보인다고 은행 측은 전했다. [디지털뉴스국 류영상 기자]▶네이버 메인에서 '매일경제'를 받아보세요▶뉴스레터 '매콤달콤' 구독 ▶'매일경제' 바로가기[ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]매일경제 관련뉴스해당 언론사에서 선정하며 언론사 페이지(아웃링크)로 이동해 볼 수 있습니다.미국인들, 7만명 넘게 죽어도 마스크 거부하는 이유는?유망한 치료제가 구충제? 렘데시비르보다 40배 강력채은정, 필라테스복 입은 청순 글래머고구려·백제와 신라는 언어가 같았을까?이계인 ""1년반 동안 수입 0원, 배우 은퇴 고민 중""",https://finance.naver.com/item/news_read.nhn?article_id=0004570363&office_id=009&code=024110&page=3&sm=
1, 2020.05.07 15:10,서울경제,"기업은행, 퇴직연금 언택트 마케팅 도입","[서울경제] IBK기업은행(024110)이 퇴직연금에 ‘언택트(Untact)’ 마케팅을 도입한다.기업은행은 7일 재택근무, 유연근무제 확대 등 신종 코로나바이러스 감염증(코로나19) 확산으로 변화된 업무환경을 반영해 ‘퇴직연금 비대면 설명회’를 실시한다고 밝혔다. 설명회에 참여하는 퇴직연금 가입 기업 또는 가입 희망기업 근로자는 모바일이나 PC 등을 통해 실시간으로 퇴직연금 전문 컨설턴트로부터 제도 안내, 컨설팅 등을 받을 수 있다. 실시간 질의응답도 가능하다. 기업은행은 재택·유연근무 시행 기업, 해외에 사업장을 둔 기업도 설명회에 참여할 수 있어 퇴직연금에 대한 접근성이 높아질 것으로 보고 있다. 기업은행 관계자는 “최근 비대면 설명회에 대한 고객들의 관심이 늘고 있어 추후 자산관리 분야 등으로 서비스 확대를 검토할 예정”이라고 말했다./송종호기자 joist1894@sedaily.com[서울경제 바로가기]▶ 네이버 채널에서 '서울경제' 구독해주세요!▶ 세상 모든 것에 대해 던지는 질문, 왜(WHY)?저작권자 ⓒ 서울경제, 무단 전재 및 재배포 금지서울경제 관련뉴스해당 언론사에서 선정하며 언론사 페이지(아웃링크)로 이동해 볼 수 있습니다.또래 여학생 성적 학대하고 촬영한 무서운 10대들···""처벌해달라"" 청원도안철수 ""여당 승리 아닌 야당 패배"" 발언에 정청래 ""이분은 아직도 노답""""위안부 가해자는 일본 정부 아냐"" 연세대 류석춘 교수, 정직 1개월프리랜서, 지자체서 월 50만원 못받으면 정부가 차액보전中 &apos;친척집에 보냈다&apos;며 병든 어머니 생매장한 아들, 3일만에 구출",https://finance.naver.com/item/news_read.nhn?article_id=0003733919&office_id=011&code=024110&page=3&sm=
2, 2020.05.07 13:48,머니투데이,"기업은행, 퇴직연금 설명회도 '언택트'로 연다","[머니투데이 박광범 기자] IBK기업은행 전경 / 사진제공=기업은행IBK기업은행이 퇴직연금에 '언택트(Untact·비대면)' 마케팅을 도입한다.기업은행은 재택근무, 유연근무제 확대 등 코로나19(COVID-19) 확산으로 변화된 업무환경을 반영해 '퇴직연금 비대면 설명회'를 실시한다고 7일 밝혔다.설명회에 참여하는 퇴직연금 가입 기업이나 가입 희망기업 근로자는 모바일이나 PC 등을 통해 실시간으로 퇴직연금 전문 컨설턴트로부터 제도 안내와 컨설팅 등을 받을 수 있다. 실시간 질의응답도 가능하다.재택·유연근무 시행 기업과 해외에 사업장을 둔 기업도 비대면 설명회에 참여할 수 있어 퇴직연금에 대한 접근성이 높아질 것으로 기대된다.기업은행 관계자는 ""최근 비대면 설명회에 대한 고객들의 관심이 늘고 있어 추후 자산관리 분야 등으로 서비스 확대를 검토할 예정""이라고 밝혔다.박광범 기자 socool@mt.co.kr▶줄리아 투자노트▶조 변호사의 가정상담소 ▶머니투데이 구독하기 <저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>머니투데이 관련뉴스해당 언론사에서 선정하며 언론사 페이지(아웃링크)로 이동해 볼 수 있습니다.'싼값'에 中공장 돌리던 韓기업들, 상상도 못한 일이…'싱글벙글쇼' 김혜영 ""하차 이유? 나 같은 출연자가 뭘 알겠냐""[단독]효성, 섬유 신소재 '아라미드' 공장…베트남 대신 울산으로 '유턴'이태원 게이클럽 확진자 2명째...제2의 신천지 우려(종합)한국 온 근로자들 줄줄이 '확진'…중동 건설현장이 수상하다",https://finance.naver.com/item/news_read.nhn?article_id=0004405053&office_id=008&code=024110&page=3&sm=
3, 2020.05.07 10:59,헤럴드경제,"기업은행, 퇴직연금 '언택트 마케팅' 도입","비대면 설명회 실시향후 WM 확대[헤럴드경제=이승환 기자] IBK기업은행이 퇴직연금에 ‘언택트(Untact)’ 마케팅을 도입한다.기업은행은 재택근무, 유연근무제 확대 등 코로나19 확산으로 변화된 업무환경을 반영해 ‘퇴직연금 비대면 설명회’를 실시한다고 7일 밝혔다.설명회에 참여하는 퇴직연금 가입 기업 또는 가입 희망기업 근로자는 모바일이나 PC 등을 통해 실시간으로 퇴직연금 전문 컨설턴트로부터 제도 안내, 컨설팅 등을 받을 수 있다. 실시간 질의응답도 가능하다.재택·유연근무 시행 기업, 해외에 사업장을 둔 기업도 설명회에 참여할 수 있어 퇴직연금에 대한 접근성이 높아질 것으로 보인다고 은행 측은 전했다.기업은행 관계자는 “최근 비대면 설명회에 대한 고객들의 관심이 늘고 있어 추후 자산관리 분야 등으로 서비스 확대를 검토할 예정”이라고 말했다.nice@heraldcorp.com▶[디;콘] 우리동네 젠트리피케이션 위험도는?▶코로나19 현황보기 ▶전국 농수축산물 소비 캠페인 - Copyrights ⓒ 헤럴드경제 & heraldbiz.com, 무단 전재 및 재배포 금지 -헤럴드경제 관련뉴스해당 언론사에서 선정하며 언론사 페이지(아웃링크)로 이동해 볼 수 있습니다.'코로나 중대발견' 앞둔 중국계 美교수, 의문의 총격 사망총을 든 손흥민…훈련병 모습 공개에 英언론 '들썩'송윤아 '불륜설 댓글 해명' 9일 만에 근황정청래 ""안철수 아직도 노답…왜 3석인지 모르나""안철수 ""나는 보수라고 말한 적 없어…여당과도 손 잡을 수 있다""",https://finance.naver.com/item/news_read.nhn?article_id=0001670358&office_id=016&code=024110&page=3&sm=
4, 2020.05.07 10:27,아시아경제,"기업은행, 퇴직연금에 언택트 마케팅 도입","[아시아경제 권해영 기자] IBK기업은행은 재택근무, 유연근무제 확대 등 신종 코로나바이러스감염증(코로나19) 확산으로 변화된 업무환경을 반영해 '퇴직연금 비대면 설명회'를 실시한다고 7일 밝혔다.설명회에 참여하는 퇴직연금 가입 기업 또는 가입 희망기업 근로자는 모바일이나 PC 등을 통해 실시간으로 퇴직연금 전문 컨설턴트로부터 제도 안내, 컨설팅 등을 받을 수 있다. 실시간 질의응답도 가능하다.재택·유연근무 시행 기업, 해외에 사업장을 둔 기업도 설명회에 참여할 수 있어 퇴직연금에 대한 접근성이 높아질 것으로 은행은 예상했다.기업은행 관계자는 ""최근 비대면 설명회에 대한 고객들의 관심이 늘고 있어 추후 자산관리 분야 등으로 서비스 확대를 검토할 예정""이라고 말했다.권해영 기자 roguehy@asiae.co.kr▶ 소름 쫙! 2020년 내 대운 시기 확인하기▶ 네이버에서 아시아경제 뉴스를 받아보세요 ▶ 놀 준비 되었다면 드루와!  드링킷!<ⓒ경제를 보는 눈, 세계를 보는 창 아시아경제 무단전재 배포금지>아시아경제 관련뉴스해당 언론사에서 선정하며 언론사 페이지(아웃링크)로 이동해 볼 수 있습니다.함소원 대박 히트곡? 박명수에 튄 성희롱 가사 논란'한국 코로나 러브콜' 시기하는 日의 황당 김칫국""男, 데이트 비용 부담 당연? 매춘과 같아"" 방송인 발언 재조명심상찮은 日…10살 미만 아이들 확진 폭증한 이유이래서 공기업…초봉 5000만원 돌파한 '신의 직장'",https://finance.naver.com/item/news_read.nhn?article_id=0004673572&office_id=277&code=024110&page=3&sm=
5, 2020.05.06 11:37,매일경제,"기업은행, 매일유업과 제휴 `슬기로운 배달생활` 이벤트","IBK기업은행은 오는 5월 30일까지 매일유업과 함께 '슬기로운 배달생활' 이벤트를 진행한다고 6일 밝혔다. 이벤트 대상은 기간 내 매일유업 가정배달 서비스 홈페이지 '매일다이렉트'에서 상하목장 유제품군 배달을 신규 신청하고 기업은행 계좌로 자동이체를 등록한 고객이다. 대상고객에게 제품에 따라 매일유업 포인트 'Maeil Do(매일두)'를 최대 5000점 증정한다. 이벤트 기간 종료 후 추첨을 통해 10명에게는 매일유업 1년 무료 음용권을 지급한다. [디지털뉴스국 류영상 기자]▶네이버 메인에서 '매일경제'를 받아보세요▶뉴스레터 '매콤달콤' 구독 ▶'매일경제' 바로가기[ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]매일경제 관련뉴스해당 언론사에서 선정하며 언론사 페이지(아웃링크)로 이동해 볼 수 있습니다.위례 2건 '줍줍'에…현금 16억 들고 4천명 달려왔다""재고 남아도는 공적마스크 가격 내려달라"" 불만 폭주우정원 '볼륨 비키니+빛나는 미모'톰 크루즈, 세계 최초로 우주에서 영화 찍는다가수 김상희 나이 78세에도…역대급 '초동안' 등극",https://finance.naver.com/item/news_read.nhn?article_id=0004569373&office_id=009&code=024110&page=3&sm=
6, 2020.05.06 10:16,아시아경제,"기업은행·매일유업, '슬기로운 배달생활' 이벤트 실시","[아시아경제 권해영 기자] IBK기업은행은 가정의 달을 맞아 매일유업과 함께 '슬기로운 배달생활' 이벤트를 다음달 30일까지 진행한다고 6일 밝혔다.이벤트 대상은 기간 내 매일유업 가정배달 서비스 홈페이지 '매일다이렉트'에서 상하목장 유제품군 배달을 신규 신청하고 기업은행 계좌로 자동이체를 등록한 고객이다. 대상고객에게는 제품에 따라 매일유업 포인트 '매일두(Maeil Do)'를 최대 5000점 증정한다. 이벤트 기간 종료 후 추첨을 통해 10명에게는 매일유업 1년 무료 음용권을 지급한다.한편 기업은행은 2002년부터 2020년에 출생한 19세 이하 영유아·청소년 자녀를 둔 고객에게 자녀 명의 상품 가입 시 1만원 금융바우처를 1회 제공한다. 기존에 기업은행에서 금융바우처 혜택을 받지 않은 경우에만 받을 수 있다.기업은행 관계자는 ""신종 코로나바이러스감염증(코로나19)으로 건강에 대한 고객의 관심이 높아진 만큼 친환경 우유로 면역력을 높이고 금융바우처 등 다양한 금융혜택을 알리기 위해 이벤트를 진행한다""고 말했다.권해영 기자 roguehy@asiae.co.kr▶ 소름 쫙! 2020년 내 대운 시기 확인하기▶ 네이버에서 아시아경제 뉴스를 받아보세요 ▶ 놀 준비 되었다면 드루와!  드링킷!<ⓒ경제를 보는 눈, 세계를 보는 창 아시아경제 무단전재 배포금지>아시아경제 관련뉴스해당 언론사에서 선정하며 언론사 페이지(아웃링크)로 이동해 볼 수 있습니다.함소원 대박 히트곡? 박명수에 튄 성희롱 가사 논란'한국 코로나 러브콜' 시기하는 日의 황당 김칫국생방송 중 '진짜 욕설'…카메라 포착하고선 황급히이래서 공기업…초봉 5000만원 돌파한 '신의 직장'""큰 집 가려고…"" 음란물로 떼돈 번 아들 두둔한 父",https://finance.naver.com/item/news_read.nhn?article_id=0004672760&office_id=277&code=024110&page=3&sm=
7, 2020.05.04 11:25,매일경제,"기업은행, `2020 그대의 오월을 응원하오` 이벤트","IBK기업은행은 5월 말까지 '2020 그대의 오월을 응원하오' 이벤트를 진행한다고 밝혔다.이벤트 대상은 모바일뱅킹 앱(App) 'i-ONE뱅크(아이원뱅크)'에서 1000만원 이상 2억원 이하의 'IBK D-Day통장(단기중금채)'을 가입한 고객이다. 어린이날(5일), 어버이날(8일), 스승의날(15일), 성년의날(18일), 부부의날(21일) 그리고 이벤트 종료일인 31일에 각 100명씩을 추첨해 총 600명에게 1만~2만원 상당의 모바일쿠폰을 제공한다.모바일쿠폰은 각 기념일 또는 다음날 발송된다.[디지털뉴스국 류영상 기자]▶네이버 메인에서 '매일경제'를 받아보세요▶뉴스레터 '매콤달콤' 구독 ▶'매일경제' 바로가기[ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]매일경제 관련뉴스해당 언론사에서 선정하며 언론사 페이지(아웃링크)로 이동해 볼 수 있습니다.4일부터 재난지원금 지급…""어? 왜 13만원이 적을까""유신일 회장, 美·日 골프장 25개 인수…흙수저의 간절함 통했죠'비키니 챔피언' 오채원, 파격적인 브라톱 공개곽민정, 문성곤과 내년 5월 결혼 ""접촉사고로 인연""이원일 약혼녀 김유진PD, 극단적 선택…의식불명",https://finance.naver.com/item/news_read.nhn?article_id=0004568346&office_id=009&code=024110&page=3&sm=
8, 2020.05.04 10:18,이데일리,"기업은행, ‘2020 그대의 오월을 응원하오’ 이벤트","총 600명 추첨해, 모바일쿠폰 제공[이데일리 전선형 기자]IBK기업은행은 5월 가정의 달을 맞아 이달 말까지 ‘2020 그대의 오월을 응원하오’ 이벤트를 진행한다고 4일 밝혔다.이벤트 대상은 모바일뱅킹 앱 ‘i-ONE뱅크(아이원뱅크)’에서 1000만원 이상,  2억원 이하의 ‘IBK D-Day통장(단기중금채)’을 가입한 고객이다.어린이날(5일), 어버이날(8일), 스승의날(15일), 성년의날(18일), 부부의날(21일) 그리고 이벤트 종료일인 31일에 각 100명씩을 추첨해 총 600명에게 1만원에서 2만원 상당의 모바일쿠폰을 제공한다.모바일쿠폰은 각 기념일 또는 다음날 발송된다.전선형 (sunnyjun@edaily.co.kr)네이버에서 ‘이데일리’ 구독하기▶청춘뉘우스~ 스냅타임▶＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞이데일리 관련뉴스해당 언론사에서 선정하며 언론사 페이지(아웃링크)로 이동해 볼 수 있습니다.김유진PD, 극단적 선택 시도 ""현재 의식 없다""전 국민 '긴급재난금' 오늘부터 신청 가능…사용처는?왕기춘, 도복 벗은 삶은 달랐다…폭행→영창→성폭행 혐의윤건영 태영호·지성호, 국회서 '1급 정보' 취급 우려임현주 아나 ""선처는 없다""...악플러에 법적대응 예고",https://finance.naver.com/item/news_read.nhn?article_id=0004632656&office_id=018&code=024110&page=3&sm=
9, 2020.05.04 10:02,이데일리,"정부, 기업은행 지분율 55.51%로 증가","[이데일리 최정희 기자] 기획재정부는 기업은행(024110)에 대한 지분율이 53.24%에서 55.51%로 증가했다고 4일 밝혔다. 유상증자로 인해 보통주 2937만9034주를 인수한 영향이다.최정희 (jhid0201@edaily.co.kr)네이버에서 ‘이데일리’ 구독하기▶청춘뉘우스~ 스냅타임▶＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞이데일리 관련뉴스해당 언론사에서 선정하며 언론사 페이지(아웃링크)로 이동해 볼 수 있습니다.김유진PD, 극단적 선택 시도 ""현재 의식 없다""전 국민 '긴급재난금' 오늘부터 신청 가능…사용처는?왕기춘, 도복 벗은 삶은 달랐다…폭행→영창→성폭행 혐의윤건영 태영호·지성호, 국회서 '1급 정보' 취급 우려임현주 아나 ""선처는 없다""...악플러에 법적대응 예고",https://finance.naver.com/item/news_read.nhn?article_id=0004632637&office_id=018&code=024110&page=3&sm=
