,name,code
278,에스엘에스바이오,246250
279,에프앤가이드,064850
280,엠앤씨생명과학,225860
281,옐로페이,179720
282,유투바이오,221800
283,이도바이오,336040
284,인카금융서비스,211050
285,전우정밀,120780
286,지놈앤컴퍼니,314130
287,진코스텍,250030
288,큐엠씨,136660
289,티케이씨,191600
290,티티씨디펜스,309900
291,파워풀엑스,266870
292,BGF리테일,282330
293,CJ CGV,079160
294,CJ대한통운,000120
295,GKL,114090
296,GS건설,006360
297,KB금융,105560
298,SG충방,001380
299,SKC,011790
300,금강공업,014280
301,금호산업,002990
302,금호전기,001210
303,기업은행,024110
304,남선알미늄,008350
305,남성,004270
306,대구백화점,006370
307,대우건설,047040
308,대원제약,003220
309,대한방직,001070
310,대한제강,084010
311,대한제당,001790
312,대현,016090
313,덕양산업,024900
314,동원금속,018500
315,두산인프라코어,042670
316,디씨엠,024090
317,디티알오토모티브,007340
318,롯데손해보험,000400
319,롯데칠성음료,005300
320,만도,204320
321,미래에셋생명,085620
322,미원홀딩스,107590
323,백산,035150
324,보락,002760
325,사조대림,003960
326,사조동아원,008040
327,삼부토건,001470
328,삼호,001880
329,서원,021050
330,세방,004360
331,세아홀딩스,058650
332,세이브존I&C,067830
333,신송홀딩스,006880
334,신일전자,002700
335,써니전자,004770
336,아시아나항공,020560
337,아이마켓코리아,122900
338,아이에이치큐,003560
339,에이블씨엔씨,078520
340,엔씨소프트,036570
341,영보화학,014440
342,영진약품,003520
343,영풍,000670
344,예스코홀딩스,015360
345,유니온,000910
346,유니온머티리얼,047400
347,유성기업,002920
348,유유제약,000220
349,유한양행,000100
350,이마트,139480
351,이수화학,005950
352,이스타코,015020
353,인천도시가스,034590
354,일정실업,008500
355,종근당,185750
356,종근당홀딩스,001630
357,지엠비코리아,013870
358,진원생명과학,011000
359,케이씨텍,281820
360,코리아써키트,007810
361,코스모화학,005420
362,코아스,071950
363,코오롱플라스틱,138490
364,쿠쿠홀딩스,192400
365,큐로,015590
366,태영건설,009410
367,티비에이치글로벌,084870
368,하이트론씨스템즈,019490
369,하이트진로,000080
370,한국금융지주,071050
371,한국전자홀딩스,006200
372,한국테크놀로지그룹,000240
373,한국토지신탁,034830
374,한일시멘트,300720
375,한전KPS,051600
376,해태제과식품,101530
377,현대에이치씨엔,126560
378,현대위아,011210
379,현대코퍼레이션홀딩스,227840
380,화승인더스트리,006060
381,화천기공,000850
382,환인제약,016580
383,효성,004800
384,효성화학,298000
385,흥아해운,003280
386,APS홀딩스,054620
387,CJ ENM,035760
388,CMG제약,058820
389,CS,065770
390,CSA 코스믹,083660
391,EG,037370
392,HRS,036640
393,MP그룹,065150
394,NICE평가정보,030190
395,PN풍년,024940
396,SCI평가정보,036120
397,SM C&C,048550
398,SNK,950180
399,감마누,192410
400,게임빌,063080
401,광림,014200
402,국영지앤엠,006050
403,나노엔텍,039860
404,나이벡,138610
405,남화토건,091590
406,넥스턴,089140
407,넵튠,217270
408,노바렉스,194700
409,누리텔레콤,040160
410,뉴파워프라즈마,144960
411,뉴프라이드,900100
412,대성파인텍,104040
413,대아티아이,045390
414,대주전자재료,078600
415,대창솔루션,096350
416,덕산네오룩스,213420
417,데브시스터즈,194480
418,동아엘텍,088130
419,디알텍,214680
420,디엠티,134580
421,디이엔티,079810
422,딜리,131180
423,라이브플렉스,050120
424,럭슬,033600
425,레드캡투어,038390
426,레이언스,228850
427,로보로보,215100
428,매직마이크로,127160
429,머큐리,100590
430,메디앙스,014100
431,메디포럼제약,047920
432,메이슨캐피탈,021880
433,메타바이오메드,059210
434,멕아이씨에스,058110
435,모두투어,080160
436,무림SP,001810
437,미래에셋대우스팩3호,328380
438,미래에셋벤처투자,100790
439,미코,059090
440,버킷스튜디오,066410
441,부스타,008470
442,비덴트,121800
443,비즈니스온,138580
444,비트컴퓨터,032850
445,사람인에이치알,143240
446,삼륭물산,014970
447,삼양옵틱스,225190
448,삼영이엔씨,065570
449,삼일,032280
450,삼일기업공사,002290
451,삼지전자,037460
452,삼진,032750
453,삼화네트웍스,046390
454,상보,027580
455,상신이디피,091580
456,서린바이오,038070
457,서울바이오시스,092190
458,서호전기,065710
459,성우하이텍,015750
460,세경하이테크,148150
461,세명전기,017510
462,셀바스AI,108860
463,손오공,066910
464,솔루에타,154040
465,수성,084180
466,슈펙스비앤피,058530
467,슈프리마,236200
468,신라섬유,001000
469,신라에스지,025870
470,신라젠,215600
471,신영스팩5호,323280
472,아가방컴퍼니,013990
473,아모텍,052710
474,아미코젠,092040
475,아이에이,038880
476,아이에이네트웍스,123010
477,아이엠이연이,090740
478,아이오케이,078860
479,아이톡시,052770
480,아이티엠반도체,084850
481,액트로,290740
482,앱클론,174900
483,에스에스알,275630
484,에스제이그룹,306040
485,에스제이케이,080440
486,에스티팜,237690
487,에이치엘비,028300
488,에이프런티어,036180
489,에코마이스터,064510
490,에프알텍,073540
491,에프에스티,036810
492,엑스큐어,070300
493,엔시트론,101400
494,엔에이치스팩12호,273060
495,엔에이치스팩14호,319400
496,엔지켐생명과학,183490
497,엔케이맥스,182400
498,엘앤케이바이오,156100
499,연우,115960
500,영신금속,007530
501,예림당,036000
502,오르비텍,046120
503,오성첨단소재,052420
504,오션브릿지,241790
505,우리손에프앤지,073560
506,우수AMS,066590
507,원일특강,012620
508,윈하이텍,192390
509,윌링스,313760
510,유니테스트,086390
511,유안타제6호스팩,340360
512,육일씨엔에쓰,191410
513,이글루시큐리티,067920
514,이글벳,044960
515,이녹스,088390
516,이랜시스,264850
517,이베스트스팩5호,349720
518,이에스에이,052190
519,이엠앤아이,083470
520,이엠텍,091120
521,이즈미디어,181340
522,이지케어텍,099750
523,인선이엔티,060150
524,인포마크,175140
525,인포바인,115310
526,인포뱅크,039290
527,잉크테크,049550
528,전진바이오팜,110020
529,정다운,208140
530,제이스텍,090470
531,제일바이오,052670
532,젬백스지오,041590
533,줌인터넷,239340
534,지니뮤직,043610
535,지니언스,263860
536,지란지교시큐리티,208350
537,지스마트글로벌,114570
538,진매트릭스,109820
539,참좋은여행,094850
540,천보,278280
541,카페24,042000
542,케이비제19호스팩,330990
543,케이씨피드,025880
544,케이엔더블유,105330
545,코너스톤네트웍스,033110
546,코데즈컴바인,047770
547,코메론,049430
548,코미팜,041960
549,코아시아,045970
550,코오롱생명과학,102940
551,코웰패션,033290
552,코위버,056360
553,콜마비앤에이치,200130
554,큐브엔터,182360
555,크로바하이텍,043590
556,클리오,237880
557,키움제5호스팩,311270
558,테고사이언스,191420
559,테스나,131970
560,파루,043200
561,파수,150900
562,파워로직스,047310
563,파인디지털,038950
564,팬엔터테인먼트,068050
565,펌텍코리아,251970
566,풍강,093380
567,피에스텍,002230
568,하나마이크론,067310
569,하이록코리아,013030
570,한국경제TV,039340
571,한국바이오젠,318000
572,한국비엔씨,256840
573,한국아트라스비엑스,023890
574,한국알콜,017890
575,한국전자인증,041460
576,한국정보통신,025770
577,한국팩키지,037230
578,한글과컴퓨터,030520
579,한일단조,024740
580,한컴위드,054920
581,한탑,002680
582,현진소재,053660
583,형지I&C,011080
584,휴네시온,290270
585,휴맥스홀딩스,028080
586,흥국에프엔비,189980
587,KC산업,112190
588,SGA임베디드,224880
589,구스앤홈,329050
590,노드메이슨,317860
591,노브메타파마,229500
592,다이노나,086080
593,다이오진,271850
594,대주이엔티,114920
595,도부마스크,227420
596,듀켐바이오,176750
597,디피코,163430
598,래몽래인,200350
599,로보쓰리,238500
600,비플라이소프트,148780
601,썬테크,217320
602,앙츠,267810
603,에이치엔에스하이텍,044990
604,오션스톤,329020
605,이노벡스,279060
606,테크엔,308700
607,테크트랜스,258050
608,틸론,217880
609,플럼라인생명과학,222670
610,휴럼,284420
611,AJ네트웍스,095570
612,CJ,001040
613,CJ제일제당,097950
614,DRB동일,004840
615,HDC아이콘트롤스,039570
616,HMM,011200
617,KPX케미칼,025000
618,KTis,058860
619,LG상사,001120
620,MH에탄올,023150
621,SBS,034120
622,SBS미디어홀딩스,101060
623,SK텔레콤,017670
624,강원랜드,035250
625,고려개발,004200
626,교보증권,030610
627,국제약품,002720
628,금양,001570
629,금호에이치티,214330
630,남해화학,025860
631,넥센타이어,002350
632,녹십자홀딩스,005250
633,농심홀딩스,072710
634,다스코,058730
635,대덕,008060
636,대웅제약,069620
637,대한유화,006650
638,더블유게임즈,192080
639,더존비즈온,012510
640,덕성,004830
641,동방아그로,007590
642,동서,026960
643,동성코퍼레이션,102260
644,동양생명,082640
645,동원산업,006040
646,드림텍,192650
647,디아이,003160
648,디와이,013570
649,디피씨,026890
650,롯데정밀화학,004000
651,롯데정보통신,286940
652,맥쿼리인프라,088980
653,메타랩스,090370
654,명문제약,017180
655,모토닉,009680
656,미원화학,134380
657,범양건영,002410
658,베트남개발1,096300
659,빙그레,005180
660,삼성에스디에스,018260
661,삼성중공업,010140
662,삼성증권,016360
663,삼성카드,029780
664,삼양통상,002170
665,삼영무역,002810
666,삼정펄프,009770
667,샘표식품,248170
668,서연이화,200880
669,성보화학,003080
670,세아제강,306200
671,센트랄모텍,308170
672,송원산업,004430
673,신성이엔지,011930
674,신세계인터내셔날,031430
675,신세계푸드,031440
676,신영증권,001720
677,신한,005450
678,신화실업,001770
679,아세아시멘트,183190
680,엔에이치엔,181710
681,유니켐,011330
682,유화증권,003460
683,이구산업,025820
684,일성신약,003120
685,제이에스코퍼레이션,194370
686,조비,001550
687,조선선재,120030
688,종근당바이오,063160
689,진양화학,051630
690,청호컴넷,012600
691,케이탑리츠,145270
692,코스모신소재,005070
693,코웨이,021240
694,키위미디어그룹,012170
695,태평양물산,007980
696,테이팩스,055490
697,텔코웨어,078000
698,팜스코,036580
699,퍼시스,016800
700,풍산홀딩스,005810
701,하나니켈1호,099340
702,하이스틸,071090
703,한국석유공업,004090
704,한국수출포장공업,002200
705,한국자산신탁,123890
706,한국주강,025890
707,한국콜마홀딩스,024720
708,한샘,009240
709,한솔홀딩스,004150
710,한신기계공업,011700
711,한화에어로스페이스,012450
712,현대리바트,079430
713,현대자동차,005380
714,효성 ITX,094280
715,휴니드테크놀러지스,005870
716,DB금융스팩7호,322780
717,IBKS제10호스팩,299170
718,JTC,950170
719,KCC건설,021320
720,KCI,036670
721,KG ETS,151860
722,KMH,122450
723,NEW,160550
724,SBI핀테크솔루션즈,950110
725,SGA솔루션즈,184230
726,SKC코오롱PI,178920
727,SK바이오랜드,052260
728,SM Life Design,063440
729,W홀딩컴퍼니,052300
730,교보9호스팩,331520
731,나노신소재,121600
732,나인테크,267320
733,넥슨지티,041140
734,노터스,278650
735,녹원씨엔아이,065560
736,누리플랜,069140
737,다산네트웍스,039560
738,다원시스,068240
739,대원산업,005710
740,대유,290380
741,덕신하우징,090410
742,데일리블록체인,139050
743,동신건설,025950
744,동일기연,032960
745,듀오백,073190
746,드림씨아이에스,223250
747,디지아이,043360
748,디지털대성,068930
749,디티앤씨,187220
750,램테크놀러지,171010
751,레고켐바이오,141080
752,레드로버,060300
753,로고스바이오,238120
754,로보스타,090360
755,리드코프,012700
756,메디포스트,078160
757,바이오니아,064550
758,베뉴지,019010
759,베셀,177350
760,보라티알,250000
761,부방,014470
762,브리지텍,064480
763,삼진엘앤디,054090
764,삼천리자전거,024950
765,삼현철강,017480
766,상아프론테크,089980
767,서산,079650
768,서진오토모티브,122690
769,성우테크론,045300
770,세운메디칼,100700
771,세종텔레콤,036630
772,소프트캠프,258790
773,솔본,035610
774,수산아이앤티,050960
775,슈피겐코리아,192440
776,스맥,099440
777,시공테크,020710
778,시그네틱스,033170
779,신신제약,002800
780,신테카바이오,226330
781,신한제5호스팩,323230
782,신한제6호스팩,333050
783,실리콘웍스,108320
784,쎄트렉아이,099320
785,씨엠에스에듀,225330
786,씨큐브,101240
787,아리온,058220
788,아비코전자,036010
789,아진산업,013310
790,아프리카TV,067160
791,알티캐스트,085810
792,애니젠,196300
793,액션스퀘어,205500
794,앤디포스,238090
795,에스앤더블류,103230
796,에스앤씨엔진그룹,900080
797,에스에프에이,056190
798,에스엠코어,007820
799,에스트래픽,234300
800,에스퓨얼셀,288620
801,에이디칩스,054630
802,에이비엘바이오,298380
803,에이스침대,003800
804,에이스토리,241840
805,에이치시티,072990
806,에이텍티앤,224110
807,엑셈,205100
808,엔브이에이치코리아,067570
809,엔텔스,069410
810,엘디티,096870
811,엘아이에스,138690
812,엘컴텍,037950
813,예스티,122640
814,오스테오닉,226400
815,오텍,067170
816,원익머트리얼즈,104830
817,원익홀딩스,030530
818,원풍,008370
819,웹젠,069080
820,위닉스,044340
821,위메이드,112040
822,유비벨록스,089850
823,유비케어,032620
824,유비쿼스,264450
825,유비쿼스홀딩스,078070
826,유안타제4호스팩,313750
827,이건홀딩스,039020
828,이노와이어리스,073490
829,이노와이즈,086250
830,이녹스첨단소재,272290
831,이랜텍,054210
832,이수앱지스,086890
833,이에스브이,223310
834,인성정보,033230
835,인탑스,049070
836,재영솔루텍,049630
837,제낙스,065620
838,제이티,089790
839,지티지웰니스,219750
840,진바이오텍,086060
841,진성티이씨,036890
842,캐리소프트,317530
843,캠시스,050110
844,케어젠,214370
845,케이비제18호스팩,323940
846,케이피에프,024880
847,코나아이,052400
848,코드네이처,078940
849,코리아에셋투자증권,190650
850,코미코,183300
851,코썬바이오,204990
852,코이즈,121850
853,키이스트,054780
854,탑엔지니어링,065130
855,태웅로직스,124560
856,텔콘RF제약,200230
857,토비스,051360
858,티라유텍,322180
859,티씨케이,064760
860,파라다이스,034230
861,파멥신,208340
862,파버나인,177830
863,파워넷,037030
864,팍스넷,038160
865,프로텍,053610
866,플레이디,237820
867,피에스케이,319660
868,픽셀플러스,087600
869,필옵틱스,161580
870,하나금융14호스팩,332710
871,한국제7호스팩,291210
872,한국캐피탈,023760
873,한류AI센터,222810
874,한일네트웍스,046110
875,헬릭스미스,084990
876,휴젤,145020
877,희림,037440
878,단디바이오,343090
879,럭스피아,092590
880,바이오프로테크,199290
881,뿌리깊은나무들,266170
882,시큐센,232830
883,씨앤에스링크,245450
884,엄지하우스,224810
885,에스앤디,260970
886,에스제이켐,217910
887,엠에프엠코리아,251960
888,유엑스엔,337840
889,이십일스토어,270020
890,이엔드디,101360
891,이엠티,232530
892,태양기계,116100
893,티에스아이,277880
894,피엔아이컴퍼니,242350
895,한중엔시에스,107640
896,DSR제강,069730
897,JW중외제약,001060
898,JW홀딩스,096760
899,KG동부제철,016380
900,KPX홀딩스,092230
901,KSS해운,044450
902,LF,093050
903,LG하우시스,108670
904,LG화학,051910
905,LIG넥스원,079550
906,LS,006260
907,NAVER,035420
908,NH투자증권,005940
909,NI스틸,008260
910,SH에너지화학,002360
911,SK증권,001510
912,SK하이닉스,000660
913,경인양행,012610
914,경인전자,009140
915,기신정기,092440
916,남영비비안,002070
917,녹십자,006280
918,대교,019680
919,대동전자,008110
920,대림비앤코,005750
921,대창,012800
922,동국제강,001230
923,동화약품,000020
924,두산솔루스,336370
925,디아이동일,001530
926,디아이씨,092200
927,롯데관광개발,032350
928,롯데케미칼,011170
929,맵스리얼티1,094800
930,무학,033920
931,미래아이앤지,007120
932,바다로19호,155900
933,부산주공,005030
934,비티원,101140
935,사조씨푸드,014710
936,삼성물산,028260
937,삼성전자,005930
938,삼성제약,001360
939,삼양식품,003230
940,삼원강재,023000
941,삼익THK,004380
942,삼일제약,000520
943,삼진제약,005500
944,삼화왕관,004450
945,서연,007860
946,선창산업,002820
947,성신양회,004980
948,세기상사,002420
949,세아특수강,019440
950,세우글로벌,013000
951,세원정공,021820
952,세진중공업,075580
953,셀트리온,068270
954,신라교역,004970
955,신성통상,005390
956,신세계,004170
957,아모레퍼시픽,090430
958,아세아,002030
959,아이에스동서,010780
960,에스제이엠,123700
961,에이리츠,140910
962,에이엔피,015260
963,엔케이,085310
964,엔피씨,004250
965,영원무역홀딩스,009970
966,우리들휴브레인,118000
967,우신시스템,017370
968,우진,105840
969,우진플라임,049800
970,웅진에너지,103130
971,유니드,014830
972,유진증권,001200
973,이건산업,008250
974,이연제약,102460
975,이월드,084680
976,인스코비,006490
977,조광페인트,004910
978,조선내화,000480
979,지누스,013890
980,진에어,272450
981,참엔지니어링,009310
982,케이씨씨,002380
983,케이씨씨글라스,344820
984,코리아오토글라스,152330
985,코오롱글로벌,003070
986,쿠쿠홈시스,284740
987,태경케미컬,006890
988,토니모리,214420
989,페이퍼코리아,001020
990,포스코,005490
991,하나니켈2호,099350
992,하나제약,293480
993,한국특수형강,007280
994,한국화장품제조,003350
995,한미글로벌,053690
996,한솔피엔에스,010420
997,한양증권,001750
998,한진중공업,097230
999,한진중공업홀딩스,003480
1000,한화,000880
1001,한화솔루션,009830
1002,현대에너지솔루션,322000
1003,현대일렉트릭,267260
1004,현대제철,004020
1005,황금에스티,032560
1006,DSC인베스트먼트,241520
1007,NHN벅스,104200
1008,SDN,099220
1009,SK4호스팩,307070
1010,SKC 솔믹스,057500
1011,SK머티리얼즈,036490
1012,UCI,038340
1013,WI,073570
1014,가비아,079940
1015,강스템바이오텍,217730
1016,경남스틸,039240
1017,국일신동,060480
1018,글로벌텍스프리,204620
1019,글로본,019660
1020,나노,187790
1021,네오셈,253590
1022,네오위즈홀딩스,042420
1023,네이블커뮤니케이션즈,153460
1024,넥스트BT,065170
1025,대성미생물,036480
1026,대신밸런스제7호스팩,332290
1027,대양전기공업,108380
1028,대원,007680
1029,대한뉴팜,054670
1030,덕산테코피아,317330
1031,덕산하이메탈,077360
1032,동국산업,005160
1033,동국제약,086450
1034,동진쎄미켐,005290
1035,두올산업,078590
1036,디바이스이엔지,187870
1037,디알젬,263690
1038,디에스티,033430
1039,라이브파이낸셜,036170
1040,라이온켐텍,171120
1041,러셀,217500
1042,레이크머티리얼즈,281740
1043,로지시스,067730
1044,링네트,042500
1045,마이크로프랜드,147760
1046,메가스터디교육,215200
1047,모헨즈,006920
1048,민앤지,214180
1049,바이온,032980
1050,비디아이,148140
1051,비에이치아이,083650
1052,삼원테크,073640
1053,새로닉스,042600
1054,서연탑메탈,019770
1055,서울반도체,046890
1056,서울전자통신,027040
1057,서원인텍,093920
1058,선데이토즈,123420
1059,성호전자,043260
1060,세원,234100
1061,셀트리온제약,068760
1062,슈프리마에이치큐,094840
1063,스킨앤스킨,159910
1064,스타플렉스,115570
1065,스튜디오드래곤,253450
1066,시노펙스,025320
1067,신원종합개발,017000
1068,신흥에스이씨,243840
1069,씨앤지하이테크,264660
1070,씨티씨바이오,060590
1071,아세아텍,050860
1072,아스타,246720
1073,아스트,067390
1074,아시아종묘,154030
1075,아우딘퓨쳐스,227610
1076,아이엘사이언스,307180
1077,아이진,185490
1078,아이큐어,175250
1079,아이크래프트,052460
1080,알에스오토메이션,140670
1081,액트,131400
1082,에스디생명공학,217480
1083,에스모 머티리얼즈,087730
1084,에스텍파마,041910
1085,에이비프로바이오,195990
1086,에이스테크,088800
1087,에이치엔티,176440
1088,에이치엘사이언스,239610
1089,에이티세미콘,089530
1090,에이팩트,200470
1091,에이프로젠 H&G,109960
1092,에코플라스틱,038110
1093,엑사이엔씨,054940
1094,엔에스,217820
1095,엔피디,198080
1096,엘오티베큠,083310
1097,엠플러스,259630
1098,예스24,053280
1099,오가닉티코스메틱,900300
1100,옵트론텍,082210
1101,옵티팜,153710
1102,와이솔,122990
1103,와이아이케이,232140
1104,우노앤컴퍼니,114630
1105,우리산업홀딩스,072470
1106,우림기계,101170
1107,우양,103840
1108,원익,032940
1109,유성티엔에스,024800
1110,유에스티,263770
1111,이노인스트루먼트,215790
1112,이디티,215090
1113,이루온,065440
1114,이엘피,063760
1115,이트론,096040
1116,인터파크,108790
1117,인터플렉스,051370
1118,일야,058450
1119,잉글우드랩,950140
1120,전파기지국,065530
1121,제너셈,217190
1122,제넨바이오,072520
1123,제노레이,122310
1124,제로투세븐,159580
1125,제룡전기,033100
1126,제이씨현시스템,033320
1127,조광ILI,044060
1128,초록뱀,047820
1129,칩스앤미디어,094360
1130,컴퍼니케이,307930
1131,케이사인,192250
1132,케이씨에스,115500
1133,케이아이엔엑스,093320
1134,켐온,217600
1135,코맥스,036690
1136,코세스,089890
1137,코스맥스엔비티,222040
1138,코스메카코리아,241710
1139,코엔텍,029960
1140,코텍,052330
1141,큐캐피탈,016600
1142,크리스탈신소재,900250
1143,타이거일렉,219130
1144,티로보틱스,117730
1145,파마리서치프로덕트,214450
1146,파인디앤씨,049120
1147,파인텍,131760
1148,펩트론,087010
1149,포스링크,056730
1150,풍국주정,023900
1151,퓨쳐켐,220100
1152,피델릭스,032580
1153,피씨디렉트,051380
1154,피에스케이홀딩스,031980
1155,하이로닉,149980
1156,하이소닉,106080
1157,한국유니온제약,080720
1158,한국전자금융,063570
1159,한국컴퓨터,054040
1160,한국테크놀로지,053590
1161,한일사료,005860
1162,헝셩그룹,900270
1163,현대바이오,048410
1164,효성오앤비,097870
1165,휴온스,243070
1166,메디쎄이,200580
1167,빅텐츠,210120
1168,씨알푸드,236030
1169,씨이랩,189330
1170,아퓨어스,149300
1171,에스엠비나,299670
1172,엘에이티,311060
1173,위월드,140660
1174,제놀루션,225220
1175,지오씨,135160
1176,파마리서치바이오,217950
1177,피노텍,150440
1178,AK홀딩스,006840
1179,CJ씨푸드,011150
1180,DB금융투자,016610
1181,DGB금융지주,139130
1182,E1,017940
1183,HDC현대EP,089470
1184,KC코트렐,119650
1185,KEC,092220
1186,KISCO홀딩스,001940
1187,LG,003550
1188,LG디스플레이,034220
1189,LS전선아시아,229640
